0 Uu Uu Uu Uu Uu Uu Uu Uu
4e-06 1s 0s 0s 0s 0s 0s 0s 0s
8e-06 1s 0s 0s 0s 0s 0s 1s 1s
1.2e-05 1s 0s 0s 0s 0s 1s 1s 0s
1.6e-05 1s 0s 0s 0s 1s 0s 0s 1s
1.9999999999999998e-05 1s 0s 0s 0s 1s 1s 0s 0s
2.4e-05 1s 0s 0s 0s 1s 1s 1s 1s
2.8e-05 1s 0s 0s 1s 0s 0s 1s 0s
3.2e-05 1s 0s 0s 1s 0s 1s 0s 1s
3.6e-05 1s 0s 0s 1s 1s 0s 0s 1s
3.9999999999999996e-05 1s 0s 0s 1s 1s 1s 0s 0s
4.4e-05 1s 0s 0s 1s 1s 1s 1s 1s
4.8e-05 1s 0s 1s 0s 0s 0s 1s 0s
5.2e-05 1s 0s 1s 0s 0s 1s 0s 1s
5.6e-05 1s 0s 1s 0s 1s 0s 0s 0s
5.9999999999999995e-05 1s 0s 1s 0s 1s 0s 1s 1s
6.4e-05 1s 0s 1s 0s 1s 1s 1s 0s
6.8e-05 1s 0s 1s 1s 0s 0s 0s 1s
7.2e-05 1s 0s 1s 1s 0s 1s 0s 0s
7.599999999999999e-05 1s 0s 1s 1s 0s 1s 1s 0s
7.999999999999999e-05 1s 0s 1s 1s 1s 0s 0s 1s
8.4e-05 1s 0s 1s 1s 1s 1s 0s 0s
8.8e-05 1s 0s 1s 1s 1s 1s 1s 1s
9.2e-05 1s 1s 0s 0s 0s 0s 1s 0s
9.6e-05 1s 1s 0s 0s 0s 1s 0s 0s
9.999999999999999e-05 1s 1s 0s 0s 0s 1s 1s 1s
0.000104 1s 1s 0s 0s 1s 0s 0s 1s
0.000108 1s 1s 0s 0s 1s 1s 0s 0s
0.000112 1s 1s 0s 0s 1s 1s 1s 1s
0.000116 1s 1s 0s 1s 0s 0s 0s 1s
0.00011999999999999999 1s 1s 0s 1s 0s 0s 1s 1s
0.000124 1s 1s 0s 1s 0s 1s 1s 0s
0.000128 1s 1s 0s 1s 1s 0s 0s 0s
0.00013199999999999998 1s 1s 0s 1s 1s 0s 1s 0s
0.000136 1s 1s 0s 1s 1s 1s 0s 0s
0.00014 1s 1s 0s 1s 1s 1s 1s 1s
0.000144 1s 1s 1s 0s 0s 0s 0s 1s
0.000148 1s 1s 1s 0s 0s 0s 1s 1s
0.00015199999999999998 1s 1s 1s 0s 0s 1s 0s 1s
0.000156 1s 1s 1s 0s 0s 1s 1s 1s
0.00015999999999999999 1s 1s 1s 0s 1s 0s 0s 0s
0.000164 1s 1s 1s 0s 1s 0s 1s 0s
0.000168 1s 1s 1s 0s 1s 1s 0s 0s
0.00017199999999999998 1s 1s 1s 0s 1s 1s 1s 0s
0.000176 1s 1s 1s 0s 1s 1s 1s 1s
0.00017999999999999998 1s 1s 1s 1s 0s 0s 0s 1s
0.000184 1s 1s 1s 1s 0s 0s 1s 0s
0.000188 1s 1s 1s 1s 0s 0s 1s 1s
0.000192 1s 1s 1s 1s 0s 1s 0s 1s
0.000196 1s 1s 1s 1s 0s 1s 1s 0s
0.00019999999999999998 1s 1s 1s 1s 0s 1s 1s 1s
0.000204 1s 1s 1s 1s 1s 0s 0s 0s
0.000208 1s 1s 1s 1s 1s 0s 0s 1s
0.000212 1s 1s 1s 1s 1s 0s 1s 0s
0.000216 1s 1s 1s 1s 1s 0s 1s 1s
0.00021999999999999998 1s 1s 1s 1s 1s 1s 0s 0s
0.000224 1s 1s 1s 1s 1s 1s 0s 1s
0.00022799999999999999 1s 1s 1s 1s 1s 1s 0s 1s
0.000232 1s 1s 1s 1s 1s 1s 1s 0s
0.000236 1s 1s 1s 1s 1s 1s 1s 0s
0.00023999999999999998 1s 1s 1s 1s 1s 1s 1s 1s
0.000244 1s 1s 1s 1s 1s 1s 1s 1s
0.000248 1s 1s 1s 1s 1s 1s 1s 1s
0.000252 1s 1s 1s 1s 1s 1s 1s 1s
0.000256 1s 1s 1s 1s 1s 1s 1s 1s
0.00026 1s 1s 1s 1s 1s 1s 1s 1s
0.00026399999999999997 1s 1s 1s 1s 1s 1s 1s 1s
0.000268 1s 1s 1s 1s 1s 1s 1s 1s
0.000272 1s 1s 1s 1s 1s 1s 1s 1s
0.000276 1s 1s 1s 1s 1s 1s 1s 1s
0.00028 1s 1s 1s 1s 1s 1s 1s 0s
0.00028399999999999996 1s 1s 1s 1s 1s 1s 1s 0s
0.000288 1s 1s 1s 1s 1s 1s 0s 1s
0.000292 1s 1s 1s 1s 1s 1s 0s 1s
0.000296 1s 1s 1s 1s 1s 1s 0s 0s
0.0003 1s 1s 1s 1s 1s 0s 1s 1s
0.00030399999999999996 1s 1s 1s 1s 1s 0s 1s 1s
0.000308 1s 1s 1s 1s 1s 0s 1s 0s
0.000312 1s 1s 1s 1s 1s 0s 0s 1s
0.000316 1s 1s 1s 1s 1s 0s 0s 0s
0.00031999999999999997 1s 1s 1s 1s 0s 1s 1s 1s
